8,100000,39.5,0,10,7,1,0,0,0,745.9004,0,0,1,11.51293
5,85000,20,0,10,34.5,1,1,0,0,306.4528,0,0,0,11.35041
0,100000,20,0,10,7,1,1,0,1,2443.234,1,0,0,11.51293
0,85000,49.5,1,10,2.5,1,2,0,1,1727.787,1,0,1,11.35041
4,57500,39.5,1,7.5,2.5,1,1,0,1,438.8423,0,0,0,10.95954
1,57500,59.5,0,7.5,14.5,1,1,0,0,790.6131,1,1,0,10.95954
0,100000,49.5,1,10,2.5,1,2,0,0,7162.295,1,0,0,11.51293
0,35000,65,1,1.5,2.5,1,2,0,0,1008.98,1,0,0,10.4631
12,100000,39.5,1,10,14.5,1,0,0,0,360.1175,1,0,1,11.51293
24,57500,29.5,0,10,7,1,0,0,0,370.5973,0,1,0,10.95954
0,35000,49.5,1,10,14.5,1,2,0,0,4115.813,1,0,0,10.4631
2,85000,49.5,1,10,2.5,1,2,0,0,2133.514,1,0,0,11.35041
0,18317.5,20,1,7.5,14.5,1,2,0,0,177.296,1,0,0,9.815612
0,85000,20,0,3.5,2.5,1,2,0,1,576.2988,0,0,0,11.35041
0,18317.5,59.5,1,.5,2.5,0,2,0,0,286.6846,1,1,0,9.815612
0,18317.5,65,1,.5,2.5,1,0,0,0,366.9094,1,1,0,9.815612
0,57500,20,0,7.5,2.5,1,0,0,0,6577.533,1,1,0,10.95954
0,57500,49.5,1,10,7,1,1,0,0,228.0705,1,0,0,10.95954
5,85000,49.5,0,10,2.5,1,1,0,1,362.2035,1,1,0,11.35041
0,85000,49.5,1,3.5,2.5,1,2,1,0,1434.185,0,1,0,11.35041
0,18317.5,59.5,1,.5,2.5,1,2,0,0,343.7135,1,0,0,9.815612
1,100000,59.5,1,7.5,2.5,1,1,0,0,2196.958,1,0,1,11.51293
0,85000,59.5,0,10,24.5,1,2,0,1,385.5446,1,0,0,11.35041
7,100000,49.5,1,10,7,1,1,0,0,1033.92,1,0,0,11.51293
50,35000,29.5,1,10,7,1,1,0,1,707.3012,0,0,0,10.4631
0,18317.5,20,0,10,9.19623,0,1,1,1,1387.273,1,0,0,9.815612
12,85000,39.5,1,10,2.5,0,1,0,0,2424.61,1,0,1,11.35041
12,18317.5,29.5,1,10,40,1,0,0,0,763.286,1,0,0,9.815612
0,35000,29.5,0,7.5,24.5,1,2,0,1,1249.696,1,0,0,10.4631
0,100000,49.5,1,7.5,7,1,2,0,0,1366.851,1,0,0,11.51293
0,18317.5,65,0,.5,2.5,1,2,0,0,1989.01,0,1,0,9.815612
0,57500,20,0,7.5,2.5,1,2,0,0,2211.74,0,0,0,10.95954
0,35000,20,0,10,7,0,1,0,0,86.453,0,1,0,10.4631
30,100000,39.5,1,10,2.5,1,1,0,0,395.6364,0,1,0,11.51293
0,57500,20,0,3.5,2.5,1,2,0,1,782.2173,1,0,0,10.95954
0,18317.5,59.5,1,3.5,7,1,0,0,0,1168.284,1,0,0,9.815612
4,18317.5,20,0,7.5,2.5,1,0,0,0,729.346,1,1,0,9.815612
6,57500,39.5,1,7.5,7,1,0,0,0,155.0971,1,1,0,10.95954
3,57500,65,1,1.5,2.5,1,1,0,0,409.3152,1,1,0,10.95954
250,100000,39.5,1,10,2.5,1,1,0,0,786.7993,1,0,1,11.51293
20,35000,39.5,1,10,7,1,2,0,0,282.9882,0,1,0,10.4631
12,18317.5,39.5,1,10,40,1,1,0,0,430.2741,0,1,0,9.815612
1,85000,59.5,1,7.5,7,1,1,0,0,437.6272,1,0,1,11.35041
0,18317.5,59.5,1,10,7,1,2,0,1,73.3925,0,1,0,9.815612
30,85000,39.5,0,10,14.5,1,0,0,0,307.2404,1,1,0,11.35041
0,85000,49.5,1,10,7,1,2,0,1,470.31,1,0,1,11.35041
3,85000,49.5,1,10,14.5,1,1,0,0,672.4551,1,1,0,11.35041
0,57500,39.5,0,3.5,7,1,2,0,0,287.8619,1,0,0,10.95954
0,100000,59.5,0,10,7,0,2,0,0,1667.682,0,0,1,11.51293
0,18317.5,39.5,0,7.5,2.5,1,2,0,1,1295.049,0,0,0,9.815612
12,85000,59.5,0,10,24.5,1,1,0,0,278.7477,1,0,1,11.35041
0,57500,49.5,1,.5,2.5,1,2,0,0,496.9383,0,0,0,10.95954
2,85000,39.5,1,10,14.5,1,2,0,0,375.7309,1,0,1,11.35041
0,35000,65,0,10,2.5,0,1,0,0,128.854,1,0,1,10.4631
0,35000,39.5,1,3.5,2.5,1,1,0,0,604.281,1,0,0,10.4631
0,18317.5,39.5,1,3.5,2.5,0,0,0,0,2588.77,1,0,0,9.815612
10,57500,59.5,1,10,14.5,1,1,0,0,452.6732,1,1,0,10.95954
7,100000,59.5,0,10,14.5,1,0,0,0,1996.682,0,1,0,11.51293
10,85000,20,1,10,7,1,1,1,0,988.4683,1,0,1,11.35041
0,35000,59.5,1,1.5,2.5,1,1,0,0,515.4867,0,1,0,10.4631
0,57500,39.5,1,10,7,1,0,0,0,466.3829,1,1,0,10.95954
2,100000,29.5,1,10,7,1,0,0,0,1381.301,1,1,0,11.51293
0,100000,59.5,1,7.5,2.5,1,2,0,0,250.9533,1,1,0,11.51293
0,35000,39.5,1,7.5,2.5,1,2,0,0,439.3301,0,1,0,10.4631
10,57500,39.5,1,7.5,14.5,1,1,1,1,344.4151,0,1,0,10.95954
1,35000,49.5,0,3.5,14.5,1,0,0,0,277.314,1,0,0,10.4631
0,18317.5,49.5,0,3.5,2.5,1,2,0,0,539.7728,0,0,0,9.815612
0,18317.5,39.5,1,3.5,2.5,1,2,0,0,436.9969,1,0,0,9.815612
0,85000,49.5,1,10,2.5,1,2,1,0,1210.817,1,1,0,11.35041
4,35000,29.5,1,10,2.5,1,0,0,1,276.0242,1,0,1,10.4631
20,85000,39.5,1,10,2.5,1,0,0,1,900.0678,0,1,0,11.35041
0,18317.5,29.5,1,10,14.5,1,0,0,0,289.5783,0,0,0,9.815612
6,18317.5,20,1,10,2.5,1,0,0,0,508.9743,1,0,0,9.815612
0,18317.5,59.5,1,10,2.5,1,2,0,0,1344.423,0,0,0,9.815612
2,100000,20,1,7.5,7,1,1,0,0,309.5988,0,1,0,11.51293
5,85000,65,1,10,2.5,1,1,1,0,183.8845,0,1,0,11.35041
2,18317.5,39.5,1,10,2.5,0,1,0,0,297.3524,0,1,0,9.815612
0,100000,49.5,0,1.5,2.5,1,2,0,0,297.7813,1,0,0,11.51293
0,18317.5,59.5,0,10,14.5,1,1,0,1,746.3181,1,1,0,9.815612
0,35000,49.5,0,3.5,2.5,1,1,0,0,281.8292,1,0,0,10.4631
5,35000,65,1,10,2.5,1,0,0,0,177.5549,1,0,0,10.4631
10,85000,20,1,7.5,7,1,0,0,0,406.3002,1,1,0,11.35041
5,35000,29.5,1,7.5,14.5,1,2,0,1,720.5945,1,0,1,10.4631
3,85000,20,1,10,24.5,1,1,0,0,4651.078,1,1,0,11.35041
4,18317.5,29.5,1,10,14.5,1,1,0,1,439.7814,1,1,0,9.815612
0,18317.5,65,1,7.5,14.5,1,2,0,0,390.2971,1,1,0,9.815612
10,100000,20,0,10,14.5,1,1,0,0,954.9061,1,0,1,11.51293
24,18317.5,59.5,0,10,7,1,0,0,0,236.9453,1,1,0,9.815612
75,35000,49.5,1,10,7,1,1,0,0,494.8217,0,1,0,10.4631
0,85000,59.5,1,3.5,2.5,1,0,0,0,578.4326,0,0,0,11.35041
2,35000,59.5,1,10,40,1,0,0,0,354.0059,1,1,0,10.4631
5,100000,39.5,1,7.5,7,1,2,0,0,290.3962,1,1,0,11.51293
0,57500,49.5,1,7.5,14.5,1,1,0,1,707.0903,1,1,0,10.95954
10,100000,49.5,1,10,14.5,1,1,0,0,1159.196,1,1,0,11.51293
0,18317.5,59.5,0,3.5,2.5,1,0,0,0,529.8605,0,1,0,9.815612
3,100000,29.5,1,7.5,24.5,1,1,0,1,1826.934,1,0,1,11.51293
0,35000,29.5,0,7.5,14.5,1,1,0,0,717.1502,1,1,0,10.4631
35,85000,39.5,0,7.5,14.5,1,0,0,0,998.9073,1,1,0,11.35041
1,85000,59.5,1,10,2.5,1,0,0,1,513.6876,0,0,1,11.35041
6,85000,59.5,0,10,2.5,1,1,0,0,482.8276,0,1,0,11.35041
25,57500,59.5,1,10,7,1,1,0,0,200.9958,1,1,0,10.95954
0,18317.5,59.5,0,10,34.5,1,1,0,0,482.9156,1,1,0,9.815612
0,85000,20,1,7.5,14.5,1,0,0,1,1188.279,1,0,0,11.35041
10,100000,39.5,0,3.5,2.5,1,1,0,1,149.4559,0,0,0,11.51293
10,100000,39.5,1,7.5,14.5,1,1,0,1,514.6862,1,0,1,11.51293
5,85000,39.5,0,10,7,1,0,0,1,5251.155,1,1,0,11.35041
1,57500,39.5,1,3.5,14.5,1,0,0,0,1552.448,0,0,0,10.95954
6,100000,59.5,1,3.5,14.5,1,1,0,0,282.3541,1,0,1,11.51293
2,85000,29.5,0,10,7,1,1,0,0,1538.939,1,0,1,11.35041
8,100000,20,0,10,7,1,0,1,1,2395.06,1,0,0,11.51293
4,100000,39.5,1,10,14.5,1,1,0,0,506.8666,0,0,1,11.51293
0,35000,20,0,10,7,1,2,0,0,446.6282,1,1,0,10.4631
0,100000,39.5,0,10,2.5,1,1,0,0,4752.498,1,1,0,11.51293
0,18317.5,65,1,7.5,24.5,1,2,1,1,431.1221,1,1,0,9.815612
0,57500,39.5,1,1.5,2.5,1,2,0,0,614.8185,1,1,0,10.95954
0,57500,39.5,0,7.5,2.5,1,0,0,1,589.3812,1,0,0,10.95954
0,35000,65,0,1.5,2.5,1,2,0,0,468.0002,1,0,0,10.4631
12,100000,39.5,0,10,2.5,1,2,0,0,1174.641,1,0,1,11.51293
6,100000,49.5,0,10,2.5,1,1,0,1,1622.746,1,0,0,11.51293
1,35000,29.5,1,10,2.5,1,1,0,0,107.9237,1,1,0,10.4631
0,57500,59.5,0,7.5,2.5,1,2,0,1,5466.288,1,1,0,10.95954
10,100000,39.5,0,10,2.5,1,1,1,0,362.1731,0,0,0,11.51293
0,35000,20,1,10,2.5,1,1,0,0,1119.063,1,1,0,10.4631
